simplified	traditional	pronunciation	meaning	hsklevel
喜剧	喜劇	xi3 ju4	a comedy; CL:部[bu4],齣|出[chu1]	5
喜好	喜好	xi3 hao4	to like; fond of; to prefer; to love; one's tastes; preference	7-9
喜怒哀乐	喜怒哀樂	xi3 nu4 ai1 le4	lit. happiness, anger, sorrow, and joy (idiom); fig. emotions	7-9
喜悦	喜悅	xi3 yue4	happy; joyous	7-9
喜爱	喜愛	xi3 ai4	to like; to love; to be fond of; favorite	4
喜庆	喜慶	xi3 qing4	jubilation; festive	7-9
喜欢	喜歡	xi3 huan5	to like; to be fond of	1
喜洋洋	喜洋洋	xi3 yang2 yang2	radiant with joy	7-9
喜糖	喜糖	xi3 tang2	sweet given on a happy occasion (esp. wedding)	7-9
喜酒	喜酒	xi3 jiu3	wedding feast; liquor drunk at a wedding feast	7-9
喝	喝	he1	to drink; variant of 嗬[he1]	1
喝	喝	he4	to shout	1
喝彩	喝彩	he4 cai3	to acclaim; to cheer	7-9
喧哗	喧嘩	xuan1 hua2	hubbub; clamor; to make a racket	7-9
喧闹	喧鬧	xuan1 nao4	to make a noise; noisy	7-9
丧失	喪失	sang4 shi1	to lose; to forfeit	6
丧生	喪生	sang4 sheng1	to die; to lose one's life	7-9
吃	喫	chi1	variant of 吃[chi1]	1
乔装	喬裝	qiao2 zhuang1	to pretend; to feign; to disguise oneself	7-9
单	單	Shan4	surname Shan	4
单	單	chan2	used in 單于|单于[chan2 yu2]	4
单	單	dan1	bill; list; form; single; only; sole; odd number; CL:個|个[ge4]	4
单一	單一	dan1 yi1	single; only; sole	5
单位	單位	dan1 wei4	unit (of measure); unit (group of people as a whole); work unit (place of employment, esp. in the PRC prior to economic reform); CL:個|个[ge4]	2
单元	單元	dan1 yuan2	unit (forming an entity); element; (in a residential building) entrance or staircase	3
单打	單打	dan1 da3	singles (in sports); CL:場|场[chang3]	6
单方面	單方面	dan1 fang1 mian4	unilateral	7-9
单独	單獨	dan1 du2	alone; by oneself; on one's own	4
单纯	單純	dan1 chun2	simple; pure; unsophisticated; merely; purely	4
单薄	單薄	dan1 bo2	weak; frail; thin; flimsy	7-9
单调	單調	dan1 diao4	monotonous	4
单身	單身	dan1 shen1	unmarried; single; alone	7-9
单边	單邊	dan1 bian1	unilateral	7-9
嗅觉	嗅覺	xiu4 jue2	sense of smell	7-9
呛	嗆	qiang1	to choke (because of swallowing the wrong way)	7-9
呛	嗆	qiang4	to irritate the nose; to choke (of smoke, smell etc); pungent; (coll.) (Tw) to shout at sb; to scold; to speak out against sb	7-9
吗	嗎	ma2	(coll.) what?	1
吗	嗎	ma3	used in 嗎啡|吗啡[ma3 fei1]	1
吗	嗎	ma5	(question particle for "yes-no" questions)	1
嗓子	嗓子	sang3 zi5	throat; voice; CL:把[ba3]	7-9
呜咽	嗚咽	wu1 ye4	to sob; to whimper	7-9
嗜好	嗜好	shi4 hao4	hobby; indulgence; habit; addiction	7-9
叹气	嘆氣	tan4 qi4	to sigh; to heave a sigh	6
嘉年华	嘉年華	jia1 nian2 hua2	(loanword) carnival	7-9
嘉宾	嘉賓	jia1 bin1	esteemed guest; honored guest; guest (on a show)	6
呕吐	嘔吐	ou3 tu4	to vomit	7-9
尝	嘗	chang2	to taste; to try (food); to experience; (literary) ever; once	5
尝试	嘗試	chang2 shi4	to try (to see what it's like or whether one can do it)	5
嘛	嘛	ma2	used in 唵嘛呢叭咪吽[an3 ma2 ni2 ba1 mi1 hong1]; (Tw) (coll.) what?	6
嘛	嘛	ma5	modal particle indicating that sth is obvious; particle indicating a pause for emphasis	6
哗然	嘩然	hua2 ran2	in uproar; commotion; causing a storm of protest; tumultuous	7-9
哗变	嘩變	hua2 bian4	mutiny; rebellion	7-9
唠叨	嘮叨	lao2 dao5	to prattle; to chatter away; to nag; garrulous; nagging	7-9
嘲弄	嘲弄	chao2 nong4	to tease; to poke fun at; to make fun of	7-9
嘲笑	嘲笑	chao2 xiao4	to jeer at; to deride; to ridicule; mockery; derision	7-9
嘴	嘴	zui3	mouth; beak; nozzle; spout (of teapot etc); CL:張|张[zhang1],個|个[ge4]	2
嘴唇	嘴唇	zui3 chun2	lip; CL:片[pian4]	7-9
嘴巴	嘴巴	zui3 ba5	mouth (CL:張|张[zhang1]); slap in the face	4
嘿	嘿	hei1	hey	7-9
恶心	噁心	e3 xin1	variant of 惡心|恶心[e3 xin1]	4
器官	器官	qi4 guan1	(physiology) organ; apparatus	4
器材	器材	qi4 cai2	equipment; material	7-9
器械	器械	qi4 xie4	apparatus; instrument; equipment; weapon	7-9
噪声	噪聲	zao4 sheng1	noise	7-9
噪音	噪音	zao4 yin1	rumble; noise; static (in a signal)	7-9
喷	噴	pen1	to spout; to spurt; to spray; to puff; (slang) to criticize scathingly (esp. online)	5
喷	噴	pen4	(of a smell) strong; peak season (of a crop); (classifier for the ordinal number of a crop, in the context of multiple harvests)	5
喷泉	噴泉	pen1 quan2	fountain	7-9
吨	噸	dun1	ton (loanword); Taiwan pr. [dun4]	5
当	噹	dang1	(onom.) dong; ding dong (bell)	6
吓	嚇	he4	to scare; to intimidate; to threaten; (interjection showing disapproval) tut-tut; (interjection showing astonishment)	5
吓	嚇	xia4	to frighten; to scare	5
吓人	嚇人	xia4 ren2	to scare; scary; frightening	7-9
吓唬	嚇唬	xia4 hu5	to scare; to frighten	7-9
尝	嚐	chang2	to taste; to experience (variant of 嘗|尝[chang2])	5
咽	嚥	yan4	to swallow	7-9
向	嚮	xiang4	to tend toward; to guide; variant of 向[xiang4]	2
向导	嚮導	xiang4 dao3	guide	5
向往	嚮往	xiang4 wang3	to yearn for; to look forward to	7-9
严	嚴	Yan2	surname Yan	4
严	嚴	yan2	tight (closely sealed); stern; strict; rigorous; severe; father	4
严厉	嚴厲	yan2 li4	severe; strict	5
严密	嚴密	yan2 mi4	tight; strict; closely controlled; rigorous and thorough	7-9
严峻	嚴峻	yan2 jun4	grim; severe; rigorous	7-9
严格	嚴格	yan2 ge2	strict; stringent; tight; rigorous	4
严禁	嚴禁	yan2 jin4	to strictly prohibit	7-9
严肃	嚴肅	yan2 su4	(of an atmosphere etc) solemn; grave; serious; (of a manner etc) earnest; severe; exacting; to strictly enforce	5
严谨	嚴謹	yan2 jin3	rigorous; strict; careful; (of writing) well organized; meticulous	7-9
严重	嚴重	yan2 zhong4	grave; serious; severe; critical	4
嚷	嚷	rang3	to shout; to bellow; to make a big deal of sth; to make a fuss about sth	7-9
嚼	嚼	jiao2	to chew; also pr. [jue2]	7-9
嚼	嚼	jiao4	used in 倒嚼[dao3 jiao4]	7-9
嘱咐	囑咐	zhu3 fu5	to urge; to exhort	7-9
因	囙	yin1	old variant of 因[yin1]	6
囚犯	囚犯	qiu2 fan4	prisoner; convict	7-9
四	四	si4	four; 4	1
四合院	四合院	si4 he2 yuan4	courtyard house with a fully enclosed courtyard (type of Chinese residence)	7-9
四周	四周	si4 zhou1	all around	5
四季	四季	si4 ji4	four seasons, namely: spring 春[chun1], summer 夏[xia4], autumn 秋[qiu1] and winter 冬[dong1]	7-9
四处	四處	si4 chu4	all over the place; everywhere and all directions	6
四面八方	四面八方	si4 mian4 ba1 fang1	(idiom) all directions; all around	7-9
回来	回來	hui2 lai5	to return; to come back	1
回信	回信	hui2 xin4	to reply; to write back; letter written in reply; CL:封[feng1]	5
回到	回到	hui2 dao4	to return to	1
回升	回升	hui2 sheng1	to rise again after a fall; to pick up; rally (stock market etc)	7-9
回去	回去	hui2 qu5	to return; to go back	1
回味	回味	hui2 wei4	to call to mind and ponder over; aftertaste	7-9
回国	回國	hui2 guo2	to return to one's home country	2
回报	回報	hui2 bao4	(in) return; reciprocation; payback; retaliation; to report back; to reciprocate	5
回家	回家	hui2 jia1	to return home	1
回复	回復	hui2 fu4	to recover; to revert; to return to (good health, normal condition etc); variant of 回覆[hui2 fu4]	4
回想	回想	hui2 xiang3	to recall; to recollect; to think back	7-9
回忆	回憶	hui2 yi4	to recall; memories; CL:個|个[ge4]	5
回忆录	回憶錄	hui2 yi4 lu4	memoir	7-9
回应	回應	hui2 ying4	to respond; response	6
回扣	回扣	hui2 kou4	brokerage; a commission paid to a middleman; euphemism for a bribe; a kickback	7-9
回收	回收	hui2 shou1	to recycle; to reclaim; to retrieve; to recover; to recall (a defective product)	5
回归	回歸	hui2 gui1	to return to; to retreat; regression (statistics)	7-9
回答	回答	hui2 da2	to reply; to answer; reply; answer	1
回落	回落	hui2 luo4	to fall back; to return to low level after a rise (in water level, price etc)	7-9
回避	回避	hui2 bi4	variant of 迴避|回避[hui2 bi4]	5
回头	回頭	hui2 tou2	to turn round; to turn one's head; later; by and by	5
回顾	回顧	hui2 gu4	to look back; to review	5
回馈	回饋	hui2 kui4	to repay a favor; to give back; feedback	7-9
回首	回首	hui2 shou3	to turn around; to look back; (fig.) to recall the past	7-9
因	因	yin1	cause; reason; because	6
因人而异	因人而異	yin1 ren2 er2 yi4	varying from person to person (idiom); different for each individual	7-9
因此	因此	yin1 ci3	thus; consequently; as a result	3
因为	因為	yin1 wei4	because; owing to; on account of	2
因素	因素	yin1 su4	element; factor; CL:個|个[ge4]	6
因而	因而	yin1 er2	therefore; as a result; thus; and as a result, ...	5
困	困	kun4	to trap; to surround; hard-pressed; stranded; destitute	3
困境	困境	kun4 jing4	predicament; plight	7-9
困惑	困惑	kun4 huo4	bewildered; perplexed; confused; difficult problem; perplexity	7-9
困扰	困擾	kun4 rao3	to perplex; to disturb; to cause complications	5
困难	困難	kun4 nan5	difficult; challenging; straitened circumstances; difficult situation	3
固执	固執	gu4 zhi2	obstinate; stubborn; to fixate on; to cling to	7-9
固定	固定	gu4 ding4	to fix; to fasten; to set rigidly in place; fixed; set; regular	4
固然	固然	gu4 ran2	admittedly (it's true that...)	7-9
圈	圈	juan1	to confine; to lock up; to pen in	7-9
圈	圈	juan4	livestock enclosure; pen; fold; sty	7-9
圈	圈	quan1	circle; ring; loop; (fig.) social circle; niche group; community; fandom; classifier for loops, orbits, laps; to surround; to encircle; to circle (sth); to mark with a circle	7-9
圈套	圈套	quan1 tao4	trap; snare; trick	7-9
圈子	圈子	quan1 zi5	circle; ring; (social) circle	7-9
国	國	Guo2	surname Guo	1
国	國	guo2	country; nation; state; (bound form) national	1
国内	國內	guo2 nei4	domestic; internal (to a country); civil	3
国土	國土	guo2 tu3	country's territory; national land	7-9
国外	國外	guo2 wai4	abroad; external (affairs); overseas; foreign	1
国学	國學	guo2 xue2	Chinese national culture; studies of ancient Chinese civilization; the Imperial College (history)	7-9
国家	國家	guo2 jia1	country; nation; state	1
国宝	國寶	guo2 bao3	national treasure	7-9
国徽	國徽	Guo2 hui1	the national emblem of the PRC (a red circle containing the five stars of the PRC flag over Tiananmen 天安門|天安门[Tian1 an1 men2])	7-9
国徽	國徽	guo2 hui1	national emblem; national coat of arms	7-9
国情	國情	guo2 qing2	the characteristics and circumstances particular to a country; current state of a country	7-9
国庆	國慶	Guo2 qing4	National Day	3
国旗	國旗	guo2 qi2	flag (of a country); CL:面[mian4]	6
国会	國會	Guo2 hui4	Parliament (UK); Congress (US); Diet (Japan); Legislative Yuan (Taiwan)	6
国有	國有	guo2 you3	nationalized; public; government owned; state-owned	7-9
国歌	國歌	guo2 ge1	national anthem	6
国民	國民	guo2 min2	nationals; citizens; people of a nation	5
国王	國王	guo2 wang2	king	6
国产	國產	guo2 chan3	domestically produced	6
国画	國畫	guo2 hua4	traditional Chinese painting	7-9
国籍	國籍	guo2 ji2	nationality	5
国防	國防	guo2 fang2	national defense	7-9
国际	國際	guo2 ji4	international	2
围	圍	Wei2	surname Wei	3
围	圍	wei2	to encircle; to surround; all around; to wear by wrapping around (scarf, shawl)	3
围巾	圍巾	wei2 jin1	scarf; shawl; CL:條|条[tiao2]	4
围墙	圍牆	wei2 qiang2	perimeter wall; fence; CL:道[dao4]	7-9
围绕	圍繞	wei2 rao4	to revolve around; to center on (an issue)	5
园	園	Yuan2	surname Yuan	6
园	園	yuan2	land used for growing plants; site used for public recreation; abbr. for a place ending in 園|园, such as a botanical garden 植物園|植物园, kindergarten 幼兒園|幼儿园 etc	6
园地	園地	yuan2 di4	garden area	6
园林	園林	yuan2 lin2	gardens; park; landscape garden	5
圆	圓	yuan2	circle; round; circular; spherical; (of the moon) full; unit of Chinese currency (yuan); tactful; to make consistent and whole (the narrative of a dream or a lie)	4
圆形	圓形	yuan2 xing2	round; circular	7-9
圆满	圓滿	yuan2 man3	satisfactory; consummate; perfect	4
圆珠笔	圓珠筆	yuan2 zhu1 bi3	ballpoint pen; CL:支[zhi1],枝[zhi1]	6
图	圖	tu2	diagram; picture; drawing; chart; map; CL:張|张[zhang1]; to plan; to scheme; to attempt; to pursue; to seek	3
图像	圖像	tu2 xiang4	image; picture; graphic	7-9
图形	圖形	tu2 xing2	picture; figure; diagram; graph; depiction; graphical	7-9
图书	圖書	tu2 shu1	books (in a library or bookstore); CL:本[ben3],冊|册[ce4],部[bu4]	6
图书馆	圖書館	tu2 shu1 guan3	library; CL:家[jia1],個|个[ge4]	1
图案	圖案	tu2 an4	design; pattern	4
图片	圖片	tu2 pian4	picture; photograph; CL:張|张[zhang1]	2
图画	圖畫	tu2 hua4	drawing; picture	3
图纸	圖紙	tu2 zhi3	blueprint; drawing; design plans; graph paper	7-9
图表	圖表	tu2 biao3	chart; diagram	7-9
团	團	tuan2	round; lump; ball; to roll into a ball; to gather; regiment; group; society; classifier for a lump or a soft mass: wad (of paper), ball (of wool), cloud (of smoke)	3
团伙	團伙	tuan2 huo3	(criminal) gang; gang member; accomplice; crony	7-9
团员	團員	tuan2 yuan2	member; group member	7-9
团圆	團圓	tuan2 yuan2	to have a reunion	7-9
团结	團結	tuan2 jie2	to unite; unity; solidarity; united	3
团聚	團聚	tuan2 ju4	to reunite; to have a reunion	7-9
团长	團長	tuan2 zhang3	regimental command; head of a delegation; group buy organizer; group-buying coordinator	5
团队	團隊	tuan2 dui4	team	6
团体	團體	tuan2 ti3	group; organization; team; CL:個|个[ge4]	3
土匪	土匪	tu3 fei3	bandit	7-9
土地	土地	tu3 di4	land; soil; territory; CL:片[pian4],塊|块[kuai4]	4
土地	土地	tu3 di5	local god; genius loci	4
土壤	土壤	tu3 rang3	soil	7-9
土生土长	土生土長	tu3 sheng1 tu3 zhang3	(idiom) (of people) born and raised in the locality; (of art forms, political parties, enterprises, products etc) developed locally from the outset; wholly indigenous	7-9
土豆	土豆	tu3 dou4	potato; (Tw) peanut (CL:顆|颗[ke1])	5
在	在	zai4	to exist; to be alive; (of sb or sth) to be (located) at; (used before a verb to indicate an action in progress)	1
在乎	在乎	zai4 hu5	to rest with; to lie in; to be due to (a certain attribute); (often used in the negative) to care about	4
在内	在內	zai4 nei4	(included) in it; among them	5
在场	在場	zai4 chang3	to be present; to be on the scene	5
在家	在家	zai4 jia1	to be at home; (at a workplace) to be in (as opposed to being away on official business 出差[chu1 chai1]); (Buddhism etc) to remain a layman (as opposed to becoming a monk or a nun 出家[chu1 jia1])	1
在意	在意	zai4 yi4	to care about; to mind	7-9
在于	在於	zai4 yu2	to rest with; to lie in; to be due to (a certain attribute); (of a matter) to be determined by; to be up to (sb)	4
在线	在線	zai4 xian4	online; connected to the Internet; (fig.) (coll.) (of a person) mentally focused; engaged; (of skills, performance etc) sharp; on point; functioning at a high level	7-9
在职	在職	zai4 zhi2	to be employed; to be in post; on-the-job	7-9
地	地	de5	-ly; structural particle: used before a verb or adjective, linking it to preceding modifying adverbial adjunct	1
地	地	di4	earth; ground; field; place; land; CL:片[pian4]	1
地上	地上	di4 shang5	on the ground; on the floor	1
地下	地下	di4 xia4	underground; subterranean; covert	4
地下室	地下室	di4 xia4 shi4	basement; cellar	6
地下水	地下水	di4 xia4 shui3	groundwater	7-9
地位	地位	di4 wei4	position; status; place; CL:個|个[ge4]	4
地区	地區	di4 qu1	region; area (informal or geographical term); prefecture (in China's administrative system)	3
地名	地名	di4 ming2	place name; toponym	6
地图	地圖	di4 tu2	map; CL:張|张[zhang1],本[ben3]	1
地址	地址	di4 zhi3	address; CL:個|个[ge4]	4
地域	地域	di4 yu4	area; district; region	7-9
地带	地帶	di4 dai4	zone; CL:個|个[ge4]	5
地形	地形	di4 xing2	topography; terrain; landform	5
地方	地方	di4 fang1	region; regional (away from the central administration); local	4
地方	地方	di4 fang5	place; location; area; space; territory; aspect; part; CL:處|处[chu4]	4
地板	地板	di4 ban3	floor	6
地步	地步	di4 bu4	stage; degree (to which a situation has evolved); a (usu. bad) situation; leeway	7-9
地段	地段	di4 duan4	section; district	7-9
地毯	地毯	di4 tan3	carpet; rug	7-9
地狱	地獄	di4 yu4	hell; underworld; (Buddhism) Naraka; (coll.) (of humor, jokes, content etc) extremely dark or morally transgressive	7-9
地球	地球	di4 qiu2	the earth	2
地理	地理	di4 li3	geography	7-9
地质	地質	di4 zhi4	geology	7-9
地道	地道	di4 dao4	tunnel; causeway	7-9
